"(0.7666666666666667, [])","(0.7666666666666667, [3])","(0.7666666666666667, [3, 4])","(0.7666666666666667, [3, 4, 22])","(0.7666666666666667, [3, 4, 22, 11])","(0.7666666666666667, [3, 4, 22, 11, 2])","(0.7666666666666667, [3, 4, 22, 11, 2, 7])","(0.7666666666666667, [3, 4, 22, 11, 2, 7, 21])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19, 15])","(0.8, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19, 15, 23])","(0.7666666666666667, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19, 15, 23, 20])","(0.7666666666666667, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19, 15, 23, 20, 8])","(0.7, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19, 15, 23, 20, 8, 10])","(0.7166666666666667, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19, 15, 23, 20, 8, 10, 12])","(0.7333333333333333, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19, 15, 23, 20, 8, 10, 12, 13])","(0.7333333333333333, [3, 4, 22, 11, 2, 7, 21, 0, 18, 16, 14, 5, 6, 17, 19, 15, 23, 20, 8, 10, 12, 13, 9])"
"(0.8333333333333334, [])","(0.8333333333333334, [3])","(0.8333333333333334, [3, 4])","(0.8333333333333334, [3, 4, 2])","(0.8333333333333334, [3, 4, 2, 11])","(0.8333333333333334, [3, 4, 2, 11, 7])","(0.8333333333333334, [3, 4, 2, 11, 7, 18])","(0.85, [3, 4, 2, 11, 7, 18, 21])","(0.8333333333333334, [3, 4, 2, 11, 7, 18, 21, 22])","(0.8833333333333333, [3, 4, 2, 11, 7, 18, 21, 22, 0])","(0.8833333333333333, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16])","(0.8833333333333333, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14])","(0.8833333333333333, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19])","(0.8833333333333333, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5])","(0.8833333333333333, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6])","(0.8833333333333333, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17])","(0.9166666666666666, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17, 15])","(0.9166666666666666, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17, 15, 23])","(0.9166666666666666, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17, 15, 23, 1])","(0.9166666666666666, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17, 15, 23, 1, 12])","(0.9, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17, 15, 23, 1, 12, 20])","(0.8166666666666667, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17, 15, 23, 1, 12, 20, 8])","(0.7, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17, 15, 23, 1, 12, 20, 8, 9])","(0.65, [3, 4, 2, 11, 7, 18, 21, 22, 0, 16, 14, 19, 5, 6, 17, 15, 23, 1, 12, 20, 8, 9, 13])"
"(0.7333333333333333, [])","(0.75, [3])","(0.75, [3, 2])","(0.75, [3, 2, 4])","(0.75, [3, 2, 4, 16])","(0.75, [3, 2, 4, 16, 21])","(0.75, [3, 2, 4, 16, 21, 11])","(0.75, [3, 2, 4, 16, 21, 11, 7])","(0.75, [3, 2, 4, 16, 21, 11, 7, 22])","(0.7166666666666667, [3, 2, 4, 16, 21, 11, 7, 22, 0])","(0.7166666666666667, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19])","(0.7166666666666667, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18])","(0.7166666666666667, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14])","(0.7166666666666667, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20])","(0.7, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15])","(0.7, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23])","(0.7, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23, 5])","(0.7, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23, 5, 17])","(0.7333333333333333, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23, 5, 17, 6])","(0.7333333333333333, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23, 5, 17, 6, 1])","(0.7333333333333333, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23, 5, 17, 6, 1, 12])","(0.7166666666666667, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23, 5, 17, 6, 1, 12, 10])","(0.6166666666666667, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23, 5, 17, 6, 1, 12, 10, 8])","(0.6166666666666667, [3, 2, 4, 16, 21, 11, 7, 22, 0, 19, 18, 14, 20, 15, 23, 5, 17, 6, 1, 12, 10, 8, 13])"
"(0.6833333333333333, [])","(0.6833333333333333, [4])","(0.6833333333333333, [4, 7])","(0.6833333333333333, [4, 7, 3])","(0.6833333333333333, [4, 7, 3, 2])","(0.6833333333333333, [4, 7, 3, 2, 11])","(0.6666666666666666, [4, 7, 3, 2, 11, 0])","(0.6666666666666666, [4, 7, 3, 2, 11, 0, 22])","(0.6666666666666666, [4, 7, 3, 2, 11, 0, 22, 14])","(0.65, [4, 7, 3, 2, 11, 0, 22, 14, 15])","(0.6666666666666666, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19])","(0.65, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17])","(0.65, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6])","(0.65, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16])","(0.65, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1])","(0.7, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18])","(0.7, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18, 12])","(0.7, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18, 12, 10])","(0.7166666666666667, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18, 12, 10, 21])","(0.7, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18, 12, 10, 21, 23])","(0.6666666666666666, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18, 12, 10, 21, 23, 5])","(0.6166666666666667, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18, 12, 10, 21, 23, 5, 8])","(0.65, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18, 12, 10, 21, 23, 5, 8, 9])","(0.5833333333333334, [4, 7, 3, 2, 11, 0, 22, 14, 15, 19, 17, 6, 16, 1, 18, 12, 10, 21, 23, 5, 8, 9, 13])"
"(0.6166666666666667, [])","(0.6333333333333333, [14])","(0.6166666666666667, [14, 21])","(0.6166666666666667, [14, 21, 7])","(0.6166666666666667, [14, 21, 7, 3])","(0.6166666666666667, [14, 21, 7, 3, 22])","(0.6166666666666667, [14, 21, 7, 3, 22, 2])","(0.6666666666666666, [14, 21, 7, 3, 22, 2, 11])","(0.65, [14, 21, 7, 3, 22, 2, 11, 4])","(0.65, [14, 21, 7, 3, 22, 2, 11, 4, 20])","(0.65, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16])","(0.6833333333333333, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0])","(0.7, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18])","(0.7, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19])","(0.7, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10])","(0.7, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15])","(0.7, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15, 23])","(0.7, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15, 23, 17])","(0.6833333333333333, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15, 23, 17, 6])","(0.6833333333333333, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15, 23, 17, 6, 1])","(0.6833333333333333, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15, 23, 17, 6, 1, 12])","(0.6, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15, 23, 17, 6, 1, 12, 8])","(0.55, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15, 23, 17, 6, 1, 12, 8, 9])","(0.5666666666666667, [14, 21, 7, 3, 22, 2, 11, 4, 20, 16, 0, 18, 19, 10, 15, 23, 17, 6, 1, 12, 8, 9, 13])"
"(0.7833333333333333, [])","(0.7666666666666667, [3])","(0.7666666666666667, [3, 2])","(0.7833333333333333, [3, 2, 11])","(0.7833333333333333, [3, 2, 11, 7])","(0.7833333333333333, [3, 2, 11, 7, 22])","(0.7666666666666667, [3, 2, 11, 7, 22, 0])","(0.75, [3, 2, 11, 7, 22, 0, 4])","(0.75, [3, 2, 11, 7, 22, 0, 4, 18])","(0.75, [3, 2, 11, 7, 22, 0, 4, 18, 16])","(0.75, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21])","(0.75, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14])","(0.75, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20])","(0.75, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5])","(0.7333333333333333, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15])","(0.7333333333333333, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23])","(0.7333333333333333, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23, 19])","(0.7333333333333333, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23, 19, 17])","(0.7166666666666667, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23, 19, 17, 6])","(0.7166666666666667, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23, 19, 17, 6, 1])","(0.7166666666666667, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23, 19, 17, 6, 1, 12])","(0.6666666666666666, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23, 19, 17, 6, 1, 12, 10])","(0.5666666666666667, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23, 19, 17, 6, 1, 12, 10, 8])","(0.5833333333333334, [3, 2, 11, 7, 22, 0, 4, 18, 16, 21, 14, 20, 5, 15, 23, 19, 17, 6, 1, 12, 10, 8, 13])"
"(0.7666666666666667, [])","(0.7666666666666667, [3])","(0.7666666666666667, [3, 22])","(0.7666666666666667, [3, 22, 11])","(0.7666666666666667, [3, 22, 11, 2])","(0.7666666666666667, [3, 22, 11, 2, 7])","(0.8166666666666667, [3, 22, 11, 2, 7, 0])","(0.8166666666666667, [3, 22, 11, 2, 7, 0, 4])","(0.8, [3, 22, 11, 2, 7, 0, 4, 18])","(0.7833333333333333, [3, 22, 11, 2, 7, 0, 4, 18, 21])","(0.7833333333333333, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16])","(0.7833333333333333, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20])","(0.7666666666666667, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14])","(0.7666666666666667, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12])","(0.7666666666666667, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5])","(0.7666666666666667, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15])","(0.7666666666666667, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15, 23])","(0.7666666666666667, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15, 23, 1])","(0.75, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15, 23, 1, 19])","(0.7333333333333333, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15, 23, 1, 19, 17])","(0.7333333333333333, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15, 23, 1, 19, 17, 6])","(0.7166666666666667, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15, 23, 1, 19, 17, 6, 10])","(0.6333333333333333, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15, 23, 1, 19, 17, 6, 10, 13])","(0.6666666666666666, [3, 22, 11, 2, 7, 0, 4, 18, 21, 16, 20, 14, 12, 5, 15, 23, 1, 19, 17, 6, 10, 13, 9])"
"(0.6666666666666666, [])","(0.6666666666666666, [3])","(0.6666666666666666, [3, 2])","(0.6666666666666666, [3, 2, 16])","(0.7, [3, 2, 16, 11])","(0.7, [3, 2, 16, 11, 21])","(0.6666666666666666, [3, 2, 16, 11, 21, 4])","(0.7, [3, 2, 16, 11, 21, 4, 0])","(0.7, [3, 2, 16, 11, 21, 4, 0, 22])","(0.6833333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18])","(0.6833333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7])","(0.6833333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20])","(0.6833333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14])","(0.6833333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5])","(0.6833333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19])","(0.6833333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15])","(0.7, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15, 23])","(0.7, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15, 23, 17])","(0.7, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15, 23, 17, 6])","(0.7333333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15, 23, 17, 6, 1])","(0.7333333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15, 23, 17, 6, 1, 12])","(0.7, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15, 23, 17, 6, 1, 12, 10])","(0.7333333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15, 23, 17, 6, 1, 12, 10, 8])","(0.6333333333333333, [3, 2, 16, 11, 21, 4, 0, 22, 18, 7, 20, 14, 5, 19, 15, 23, 17, 6, 1, 12, 10, 8, 9])"
"(0.6666666666666666, [])","(0.6666666666666666, [3])","(0.65, [3, 7])","(0.65, [3, 7, 2])","(0.6666666666666666, [3, 7, 2, 4])","(0.6666666666666666, [3, 7, 2, 4, 21])","(0.6666666666666666, [3, 7, 2, 4, 21, 11])","(0.6666666666666666, [3, 7, 2, 4, 21, 11, 22])","(0.6666666666666666, [3, 7, 2, 4, 21, 11, 22, 0])","(0.6666666666666666, [3, 7, 2, 4, 21, 11, 22, 0, 16])","(0.6833333333333333, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18])","(0.6833333333333333, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12])","(0.6666666666666666, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19])","(0.6666666666666666, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15])","(0.6666666666666666, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23])","(0.6833333333333333, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20])","(0.6666666666666666, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20, 1])","(0.6666666666666666, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20, 1, 17])","(0.6333333333333333, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20, 1, 17, 6])","(0.6166666666666667, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20, 1, 17, 6, 5])","(0.6333333333333333, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20, 1, 17, 6, 5, 14])","(0.6166666666666667, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20, 1, 17, 6, 5, 14, 13])","(0.6, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20, 1, 17, 6, 5, 14, 13, 9])","(0.6, [3, 7, 2, 4, 21, 11, 22, 0, 16, 18, 12, 19, 15, 23, 20, 1, 17, 6, 5, 14, 13, 9, 10])"
"(0.8, [])","(0.8, [3])","(0.8, [3, 11])","(0.8, [3, 11, 2])","(0.7833333333333333, [3, 11, 2, 4])","(0.7833333333333333, [3, 11, 2, 4, 16])","(0.8, [3, 11, 2, 4, 16, 0])","(0.8, [3, 11, 2, 4, 16, 0, 22])","(0.8, [3, 11, 2, 4, 16, 0, 22, 15])","(0.7833333333333333, [3, 11, 2, 4, 16, 0, 22, 15, 7])","(0.8, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18])","(0.8, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19])","(0.7833333333333333, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6])","(0.8, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17])","(0.8166666666666667, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14])","(0.8, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5])","(0.8, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5, 20])","(0.8, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5, 20, 1])","(0.8166666666666667, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5, 20, 1, 12])","(0.7666666666666667, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5, 20, 1, 12, 21])","(0.7833333333333333, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5, 20, 1, 12, 21, 23])","(0.7833333333333333, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5, 20, 1, 12, 21, 23, 10])","(0.65, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5, 20, 1, 12, 21, 23, 10, 8])","(0.5333333333333333, [3, 11, 2, 4, 16, 0, 22, 15, 7, 18, 19, 6, 17, 14, 5, 20, 1, 12, 21, 23, 10, 8, 13])"
